0,1,2
0.007631634,0.793208466,0.1991599
0.053232197,0.800589735,0.146178069
0.046301948,0.794837692,0.15886036
0.051661978,0.781026858,0.167311164
0.057576493,0.746630593,0.195792914
0.090641688,0.678922812,0.2304355
0.051107401,0.470609819,0.47828278
0.636787212,0.346528698,0.01668409
0.63023195,0.355507224,0.014260827
0.082612188,0.4354714,0.481916412
0.084626973,0.324606421,0.590766606
0.772448247,0.222397852,0.005153901
0.033052032,0.209264915,0.757683053
0.814676045,0.170501388,0.014822567
0.745209928,0.20720097,0.047589102
0.725083728,0.230801035,0.044115237
0.697984753,0.259042086,0.042973161
0.678786397,0.306187622,0.015025981
0.086552883,0.407159232,0.506287885
0.087975376,0.311161351,0.600863273
0.781029047,0.213809715,0.005161239
0.033249797,0.201349815,0.765400388
0.823760757,0.161227552,0.015011691
0.760398796,0.188484939,0.051116265
0.795547151,0.191443921,0.013008928
0.034561963,0.191182779,0.774255258
0.828959036,0.156095924,0.01494504
0.7617262,0.187101177,0.051172624
0.793964276,0.193036602,0.012999122
0.034031512,0.196487083,0.769481405
0.823632188,0.166399434,0.009968377